Variable,Units,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/05/2013,2013,5,118,93,194,0.328634565,0,0.57,1.070714286,11.3,4.5,7.9,14.2,17.3,46.4,1929.3,NA,1005.2,0,9.7,10,0,10.4,0,0,7.3,2.624,2.624,0,10.14725844,1.401441853,0.475523196,12.5,6.671428571,9.585714286,8.457142857,14.55714286,39.24285714,1453.2,85.7,1001.085714,0,10.97142857,10.81428571,0,10.41428571,5.457142857,3.1,4.2,1.958481524,1.958481524,0.115095832,14.22573789,1.27484275,0.789051015
20/05/2013,2013,5,94,86,136,0.328634565,0,0.57,0.426857143,10.9,9.9,10.4,0,11.8,21.3,21.3,94.2,1016,12.5,12.5,12.7,11.7,11,9.8,9.9,0.7,1.21,1.21,3.532,8.486321458,1.700332206,0.169357534,12.28333333,6.95,9.616666667,3.6,10.93333333,26.25,1481.116667,83.42,1005.2,2.083333333,11.45,10.93333333,3.483333333,10.11666667,8.1,3.316666667,3.914285714,1.954413687,1.954413687,1.108859761,10.68061024,1.6682876,0.726655968
27/05/2013,2013,5,137,100,167,0.328634565,0,0.57,-0.412428571,13.8,7.2,10.5,8.3,10.4,36.3,2347.4,85.5,994,0,13.1,12.5,0,11.7,0,0,6.9,2.806,2.806,3.589,4.044011667,0.825641408,0.164788218,13.1,7.957142857,10.52857143,2.657142857,11.54285714,28.95714286,1846.557143,77.81428571,1015.728571,0,12.82857143,12.52857143,1.685714286,11.58571429,4.414285714,3.685714286,6.414285714,2.665176617,2.665176617,10.04586303,3.573484584,0.732994625,0.109238295
03/06/2013,2013,6,37,60,55,-0.035989068,0,0.52,0.367428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1.184,1.184,10.424,1.836743125,0.391030232,0.077917574,15.98,7.8,11.9,1.88,8.64,23.7,1959.36,81.375,1015.3,0,14.08,13.58,0,12.4,8.76,0,4.1,2.195075925,2.195075925,7.185791571,3.123283333,0.644349999,0.125001197
10/06/2013,2013,6,38,56,48,-0.035989068,0,0.52,-0.067714286,15.9,10.6,13.3,0.2,14.1,30.4,652.5,83.9,1005.3,0,17.9,18.7,0,17.2,0,0,0.6,1.339,1.339,39.461,1.375728333,0.30025642,0.074349542,22.47142857,10.84285714,16.65714286,0.028571429,7.114285714,19.82857143,2395.4,66.07142857,1017.242857,0,13.75714286,19.04285714,0,15.81428571,3.5,0,9.828571429,4.17661951,4.17661951,28.62833121,1.407968051,0.30660442,0.073774374
17/06/2013,2013,6,92,100,106,-0.035989068,0,0.52,-0.350428571,19.8,11.6,15.7,0,5.4,17.1,1407.2,80.9,1013.3,0,15.9,15.2,0,14.3,13.4,10.1,1.2,1.591,1.591,25.31,2.729595729,0.56683291,0.092632751,16.78571429,9.514285714,13.12857143,4.071428571,7.328571429,21.24285714,1222.071429,82.6,1003.457143,0,13.31428571,15.38571429,4.385714286,15.08571429,3.857142857,1.442857143,3.242857143,2.049978396,2.049978396,28.32028651,2.884899122,0.597412148,0.132022219
24/06/2013,2013,6,NA,NA,NA,-0.035989068,0,0.52,1.009571429,17.5,9.6,13.5,0.1,4.8,15.4,2245.2,75.9,1022,0,0,14.4,0,14.1,13.6,0,6.3,2.976,2.976,22.125,2.63482875,0.548173292,0.116149139,16.6,10.15714286,13.37142857,2.885714286,10.85714286,26.85714286,1732.328571,82.18571429,1010.314286,0,11.15714286,15.5,6.371428571,14.78571429,11.62857143,1.4,4.442857143,2.430600746,2.430600746,26.43732378,2.362790238,0.494608909,0.12057499
01/07/2013,2013,7,NA,119,NA,-0.078491658,0,0.67,1.15,17,10.3,13.7,1.7,9,20.4,1568.5,76,1011.8,NA,15.2,15,NA,14.9,13.9,NA,0.9,1.467,1.467,24.426,2.795094792,0.579729676,0.129238386,17.05714286,10.48571429,13.75714286,1.7,8.942857143,22.02857143,1360.114286,87.45714286,1021.371429,0,11.4,15.6,7.533333333,14.95714286,11.75714286,4.966666667,2.885714286,2.028769488,2.028769488,25.2380848,2.313880506,0.484978583,0.111847222
08/07/2013,2013,7,80,99,106,-0.078491658,0,0.67,1.034285714,28.1,14.2,21.1,0,5.8,15.2,2926.4,79.1,1031.3,0,0,19.9,0,16,13.9,0,13.3,5.695,5.695,11.997,3.061876146,0.118359851,0.082512777,18.64285714,12.22857143,15.42857143,4.085714286,8.685714286,21.84285714,1486.085714,88.62857143,1017.957143,0,10.84285714,15.94285714,4.142857143,14.87142857,9.914285714,9.385714286,3.414285714,2.310076441,2.310076441,6.883123892,6.584849003,0.91849302,0.389329125
15/07/2013,2013,7,34,60,43,-0.078491658,0,0.67,0.311428571,20.7,14.1,17.4,0,6.7,17.4,1841.3,80.6,1022,0,0,21.4,0,19.3,16.2,0,4.6,2.624,2.556,44.65,1.265231458,0.072027744,0.064343779,23.41428571,13.85714286,18.64285714,0,6.571428571,16.94285714,2215.142857,80.2,1024.157143,0,2.971428571,22.11428571,0,18.85714286,15.22857143,0,10.94285714,4.674558373,4.664744776,32.41502916,1.703657143,0.083058824,0.067578539
22/07/2013,2013,7,41,71,49,-0.078491658,0,0.67,-0.211142857,23.9,15.6,19.7,0,5.5,18.7,1040.1,81.2,1010.2,0,0,22,0,20.4,17.3,0,1.5,1.745,1.2,66.208,0.924615729,0.059227755,0.05670502,25.56666667,15.5,20.51666667,0,6.283333333,18.3,2265.05,79.98,1020.516667,0,0,22.76666667,0,19.9,16.65,2.283333333,7.6,3.748358214,3.079720751,58.14820965,1.043926295,0.064197333,0.059296583
29/07/2013,2013,7,40,70,48,-0.078491658,0,0.67,-0.236714286,19.7,12.2,16,5.3,6.8,22.8,1920.4,86.1,1002,0,20.1,20.1,19.7,19.1,17.2,0,7.8,3.309,2.998,45.213,1.497652813,0.07916551,0.065250321,22.01428571,13.34285714,17.7,5.857142857,5.971428571,19.27142857,1810.271429,85.92857143,1003.371429,0,14.47142857,20.14285714,5.757142857,19.21428571,17.28571429,2.014285714,6.685714286,3.145573179,2.857861612,46.44464044,1.88351503,0.16698244,0.117745055
05/08/2013,2013,8,122,133,152,-0.084458444,0,0.97,-0.633285714,19.1,9.7,14.4,0.2,6.9,22.9,1635.3,79.6,1010.1,0,17.1,17.8,0,17.6,16.7,0,4,2.106,2.106,23.602,3.260889896,0.195176998,0.108332047,19.08571429,11.77142857,15.41428571,5.5,8.9,24.6,1555.228571,86.54285714,1003.328571,0,12.62857143,17.81428571,7.542857143,17.85714286,17.04285714,5.142857143,4.942857143,2.440346173,2.412683445,23.97896806,3.708504613,0.528969628,0.171726341
12/08/2013,2013,8,106,171,122,-0.084458444,0,0.97,-0.587285714,18.6,12.1,15.3,3.6,12.3,26.1,2139.3,77.7,1016.8,0,0,16.2,0,16.4,16.4,10.3,7.4,2.966,2.966,18.481,1.9120925,0.35622713,0.093913031,18.21428571,12.11428571,15.14285714,2.6,8.471428571,23.25714286,1366.328571,81.88571429,1014.457143,0,11.65714286,16.92857143,4.714285714,17.04285714,16.57142857,2.914285714,3.114285714,1.868546067,1.868546067,19.02046818,2.438447827,0.319717926,0.097202291
19/08/2013,2013,8,155,151,221,-0.084458444,0,0.97,1.011142857,19.3,12.5,15.9,0.6,8.7,26.3,2136.1,80.3,1016.2,0,0,17.3,0,17,16.3,0,8.7,3.228,3.228,8.779,4.167625729,0.21677806,0.116559195,18.9,12.85714286,15.85714286,3.828571429,8.742857143,25.18571429,1532.1,86.18571429,1009.671429,0,2.471428571,17.41428571,9.685714286,16.98571429,16.28571429,1.928571429,5.542857143,2.442444595,2.442444595,7.952464174,4.98533817,0.936258501,0.282585932
26/08/2013,2013,8,149,172,223,-0.084458444,0,0.97,1.198285714,19.7,12.4,16.1,0,4.6,17,814.5,91.6,1019,16.8,0,16.5,16.5,16.4,16.1,12.4,1.7,1.348,1.348,2.887,3.68859625,0.223929168,0.11219368,18.07142857,12.67142857,15.38571429,5.714285714,7.9,22.18571429,925.6285714,88.58333333,1014.914286,12.11428571,4.714285714,16.91428571,9.571428571,16.81428571,16.21428571,6.385714286,2.4,1.541014195,1.541014195,0.901439949,6.762040194,0.938113373,0.419076973
02/09/2013,2013,9,80,122,111,-0.779730088,0,0.24,1.016142857,16.8,14.9,15.8,4.6,10.2,23.4,337.8,98.1,1023.7,16.2,16.3,16.1,16.2,16.1,15.9,14.8,1.2,1.144,1.144,4.146,1.917403333,0.16101748,0.076955433,17.54285714,12.38571429,14.97142857,1.642857143,9.785714286,25.9,1202.142857,84.48571429,1021.114286,16.7,5.516666667,16.64285714,11.91428571,16.51428571,16.05714286,9.885714286,3.985714286,1.822701429,1.822701429,6.674868906,2.290287262,0.235415806,0.085583547
09/09/2013,2013,9,150,155,229,-0.779730088,0,0.24,0.790857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.392,1.392,0.375,2.594108542,0.25360275,0.106812855,16.62,9.6,13.08,1.96,7.7,22.86,1084.38,82.825,1013.86,14.5,6.38,14.74,9.14,15.46,15.7,2.22,3.242857143,1.461356928,1.461356928,1.988650865,2.263199941,0.398306554,0.113421667
16/09/2013,2013,9,150,120,293,-0.779730088,0,0.24,0.941428571,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,6.7,2.008,2.008,2.008,7.006362396,0.656306665,0.387620879,9.857142857,5.714285714,7.771428571,4.283333333,6.171428571,17.25714286,938.7,86.6,1013.45,8.514285714,8.5,8.471428571,8.485714286,8.442857143,8.514285714,4.5,3.842857143,1.511793635,1.511793635,0.972372719,4.37652253,0.768642325,0.227509585
23/09/2013,2013,9,83,91,130,-0.779730088,0,0.24,-0.156,22.5,13.6,18,0,11.5,24.4,1264.4,85.1,1016.2,16.9,0,16.2,0,14.9,14.2,12.3,6.9,2.215,2.215,4.575,2.889073333,0.177537821,0.093203595,17.72857143,11.65714286,14.68571429,3.757142857,9.557142857,27.91428571,823.0428571,84.35714286,1010.142857,13.88571429,5.671428571,13.61428571,9.271428571,13.71428571,14.3,8.3,3.2,1.35608057,1.35608057,1.346010265,5.073365804,0.421869635,0.186842438
30/09/2013,2013,9,55,73,69,-0.779730088,0,0.24,-1.502,16.1,13.2,14.7,2.8,11.2,25.1,227.6,87.6,998.6,14.2,14.3,14.4,14.6,14.9,14.7,0,0,0.582,0.582,7.28,1.477299375,0.090373906,0.068329942,18.25714286,13.22857143,15.75714286,0.642857143,7.685714286,19.67142857,576.8,86.32857143,1006.242857,15.52857143,10.88571429,15.45714286,15.38571429,15.18571429,14.57142857,5.228571429,1.942857143,1.029198228,1.029198228,7.068266132,1.823507307,0.110826707,0.075630279
07/10/2013,2013,10,77,121,83,-0.709320739,0,-1.28,-0.461857143,18.1,13.7,15.9,4.1,12.3,32.5,287.9,91.4,1013.1,16.1,16.2,16.1,16,15.5,14.8,12.1,0.1,0.555,0.555,8.425,2.180998021,0.621434163,0.115946148,16.21428571,11.42857143,13.81428571,0.871428571,8.328571429,21.81428571,626.55,89.68333333,1006.516667,13.5,11.2,13.31428571,13.24285714,13.02857143,12.61428571,8.828571429,2.828571429,1.034984214,1.034984214,10.03817523,1.611539271,0.264917444,0.078903409
14/10/2013,2013,10,51,73,63,-0.709320739,0,-1.28,-0.507142857,15.4,6.8,11.1,0,5.4,14.5,918,78.3,1011.7,10.7,0,11.2,11.7,12.4,13.8,0,6.8,1.475,1.475,13.104,1.318744896,0.094822944,0.067895034,13.67142857,7.228571429,10.45714286,0.314285714,6.828571429,19.14285714,683.5857143,81.16,1021.528571,11.31428571,6.985714286,12.02857143,9.228571429,13.54285714,14.42857143,2.071428571,3.485714286,0.982703871,0.982703871,10.91754063,1.644147634,0.173832269,0.08438549
21/10/2013,2013,10,128,127,200,-0.709320739,0,-1.28,-1.724142857,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0.272,0.272,1.133,3.624876042,0.238420846,0.133745808,13.42857143,8.2,10.81428571,3.471428571,7.114285714,19.58571429,520.0833333,90.2,998.6833333,10.27142857,8.871428571,10.28571429,10.5,10.7,11.5,1.657142857,1.985714286,0.697196789,0.697196789,3.023795071,3.177755833,0.414695308,0.190581655
28/10/2013,2013,10,125,97,231,-0.709320739,0,-1.28,-0.257571429,12.1,8.1,10.1,10,16.1,40.6,431.3,79.2,988,9.4,9.7,10.3,10.9,11.7,12.8,0,3.4,0.752,0.752,0,10.85267469,1.061328164,0.406674022,14.11428571,8.028571429,11.08571429,8.271428571,11.22857143,32.14285714,447.6285714,86.45714286,989,11,11.12857143,11.4,11.77142857,12.24285714,13.07142857,2.614285714,2.542857143,0.687360545,0.687360545,0,7.398832619,0.915439027,0.42127289
04/11/2013,2013,11,102,83,161,-0.922168438,0,0.9,0.641,9.1,1.8,5.4,2.4,4.9,17.4,402.1,89.4,992.2,5.7,6,6.7,7.8,9.2,11.6,0,1,0.347,0.347,0,6.731401979,0.270814609,0.159848656,11.51428571,5.414285714,8.442857143,5.871428571,10.2,35.95714286,472.4142857,82.15,998.6,7.757142857,7.971428571,8.471428571,9.228571429,10.3,12.15714286,0,2.885714286,0.62126606,0.62126606,0,8.866207559,0.729304845,0.360996318
11/11/2013,2013,11,116,87,156,-0.922168438,0,0.9,0.212142857,13.8,8.5,11.1,6.3,7.4,26.5,402,87.5,1013,9.5,9.4,8.7,8.5,8.3,10.2,6.4,3,0.568,0.568,0,10.54096844,1.631114442,0.541664042,10.67142857,4.628571429,7.642857143,7.771428571,8.542857143,30.75714286,284.9857143,86.73333333,999.9428571,6.685714286,6.828571429,7.085714286,7.685714286,8.528571429,10.81428571,0.914285714,1.214285714,0.366967966,0.366967966,0,7.94240259,0.971496818,0.341879521
18/11/2013,2013,11,79,57,106,-0.922168438,0,0.9,1.041285714,8.4,2.8,5.6,5.2,11.8,35.9,406.1,80,1012.5,6.6,7,7.8,8.5,9.2,10.2,0,3.9,0.509,0.509,0,2.797856979,0.265163629,0.109025147,10.81428571,6.6,8.671428571,3.2,10.3,32.62857143,226.8714286,80.27142857,1023.485714,7.9,8.028571429,8.185714286,8.528571429,8.914285714,10.14285714,0.985714286,1.3,0.334829671,0.334829671,0.031801023,5.006761235,0.353244053,0.159127579
25/11/2013,2013,11,65,58,112,-0.922168438,0,0.9,-0.198285714,8.5,5.7,7.1,0.8,2.4,9.1,221.3,97.5,1038,7.1,7.1,7.1,7.4,7.7,9.4,0,0.1,0.176,0.176,0,2.189382083,0.197018982,0.107610759,8.657142857,3.885714286,6.257142857,2.028571429,7.585714286,22.34285714,289.9571429,87.92857143,1023.442857,5.7,5.885714286,6.2,6.842857143,7.771428571,9.757142857,0.457142857,1.942857143,0.329116335,0.329116335,0.099268833,2.66088686,0.256169754,0.123117908
02/12/2013,2013,12,51,49,80,-1.811254341,1,0.95,0.111285714,10,6.5,8.3,0.5,7.6,17.2,92.3,86.8,1027.3,7.5,7.6,7.7,8.1,8.4,9.5,5.5,0,0.154,0.154,0,1.665237292,0.143738779,0.08257701,10.92857143,6.857142857,8.9,0.385714286,5.8,19.67142857,169.0571429,87.98571429,1032.457143,7.714285714,7.785714286,7.814285714,8.057142857,8.342857143,9.428571429,2.966666667,0.342857143,0.191627572,0.191627572,0.079505246,1.830203631,0.165861134,0.092349536
09/12/2013,2013,12,69,67,124,-1.811254341,1,0.95,0.274571429,12.6,8.9,10.8,0,14.1,28,145,80.2,1015.2,9.3,9.3,9.2,9.2,8.9,9.3,0,0.9,0.219,0.219,0.219,4.771858646,0.519267389,0.280756511,10.85714286,6.885714286,8.857142857,2.685714286,11.91428571,31.75714286,137.0142857,84.34285714,1021.114286,7.685714286,7.757142857,7.771428571,8.042857143,8.328571429,9.385714286,3.428571429,0.657142857,0.196453662,0.196453662,0.03134886,3.112493542,0.536883367,0.209757679
16/12/2013,2013,12,89,58,134,-1.811254341,1,0.95,0.417714286,8.8,3.9,6.4,1.7,10.3,36.3,214,72.1,1005.5,5.4,5.6,6.5,7.3,8.4,9.7,0,1.7,0.244,0.244,0,14.1844526,0.694106255,0.294137715,12.66,8.24,10.48,3.18,14.9,33.86,119.26,81.6,1007.4,8.8,8.88,9,9.14,9.2,9.58,1.88,0.614285714,0.186910666,0.186910666,0,11.39349363,1.375073139,0.463961804
23/12/2013,2013,12,54,31,73,-1.811254341,1,0.95,0.993428571,10.6,2.6,6.6,13.6,17.6,50.5,183.8,87.3,969.9,4.8,4.9,4.9,5.5,6.3,8.5,-0.2,1.3,0.225,0.225,0,14.67024438,1.821875647,0.704824633,9.5,3.142857143,6.3,9.014285714,16.1,50.27142857,95.27142857,83,990.5285714,5.042857143,5.242857143,5.642857143,6.342857143,7.185714286,8.971428571,0.414285714,0.385714286,0.156609008,0.156609008,0,13.25947039,1.299382417,0.447547876
30/12/2013,2013,12,NA,NA,NA,-1.811254341,1,0.95,0.424571429,9.5,5.2,7.3,2.8,10.7,34,258.8,83.7,993,5.1,5.3,5.2,5.5,5.7,7.4,2.8,3.8,0.446,0.446,0,13.9132376,0.697936406,0.756808735,8.457142857,3.028571429,5.728571429,8.1,12.95714286,40.05714286,147.1714286,82.57142857,980,4,4.242857143,4.585714286,5.242857143,5.871428571,7.814285714,0.471428571,1.242857143,0.226578377,0.226578377,0,15.38342595,1.085522841,0.803601362
06/01/2014,2014,1,53,34,68,-2.795802272,1,0.29,-0.135714286,10.1,6,8.1,12.4,19.6,47.1,164.4,82.3,966.9,6,6,5.8,5.9,5.9,7.1,5.2,0.8,0.209,0.209,0,17.737465,1.280387183,2.290654263,8.571428571,3.771428571,6.171428571,10.71428571,13.57142857,40.58571429,149.2857143,86.75714286,975.6142857,4.8,5,5.142857143,5.471428571,5.842857143,7.242857143,2.142857143,0.828571429,0.198943309,0.198943309,0,15.38110329,1.272166082,1.442882193
13/01/2014,2014,1,48,43,89,-2.795802272,1,0.29,-0.181142857,6.8,1.2,4,4.7,6.3,26.2,196.7,90.1,993.5,3.8,4.1,4.7,5.2,5.6,7,-2.1,0.8,0.204,0.204,0,10.32557052,1.147718852,0.924026497,8.671428571,2.514285714,5.6,5.6,7.514285714,26.47142857,238.1857143,88.9,999.5571429,4.5,4.771428571,5.085714286,5.514285714,5.885714286,7.114285714,-0.328571429,2.357142857,0.317087152,0.317087152,0,10.31083585,0.965128921,0.802766835
20/01/2014,2014,1,95,74,131,-2.795802272,1,0.29,-0.060857143,8.4,2.3,5.4,2.8,8.7,27.2,350.4,NA,1001.2,3.8,4,4.2,4.6,5.1,6.4,0,4.7,0.562,0.562,0,7.81195125,0.886130479,0.564537018,6.814285714,2.585714286,4.714285714,4.45,5.957142857,20.5,244.9666667,92.25,984.8,3.885714286,4.071428571,4.257142857,4.5,4.842857143,5.571428571,1.014285714,1.642857143,0.296492051,0.296492051,0.052307862,12.10246844,1.33017855,1.051368411
27/01/2014,2014,1,55,36.6,90,-2.795802272,1,0.29,0.612857143,6.8,6.5,6.6,20.8,26.3,59,148.1,82.1,975.7,5.2,5.3,5.3,5.6,6.1,6.5,0,0.2,0.228,0.228,0,20.26170458,1.510154912,1.603061053,9.142857143,4.957142857,7.042857143,15.51428571,16.52857143,43.78571429,183.7857143,86.925,995,5.7,5.857142857,5.8,5.871428571,5.957142857,6.371428571,1.285714286,0.9,0.280060083,0.280060083,0,17.80882307,1.861416122,1.888948476
03/02/2014,2014,2,23,14,37,-2.050423122,1,1.34,0.926142857,8.6,3.3,6,11.4,12.5,43.5,340.4,87.2,982.1,5.8,6,6,5.9,5.8,6.2,1.7,0.5,0.289,0.289,0,13.77546948,1.309764557,1.328360731,8.328571429,3.014285714,5.685714286,6.442857143,13.64285714,37.17142857,330.0285714,86.05,983.9857143,4.828571429,5.042857143,5.171428571,5.385714286,5.7,6.371428571,0.8,2.057142857,0.420402044,0.420402044,0,14.56271253,1.071222447,1.349129024
10/02/2014,2014,2,38.3,24,59.6,-2.050423122,1,1.34,0.976285714,8.4,1.7,5.1,17.2,11.6,38.6,540.2,NA,986.3,4,4.3,4.6,4.9,5.4,6.1,0,4.4,0.757,0.757,0,12.14021438,1.591292443,0.793621166,7.428571429,2.814285714,5.142857143,8.114285714,11.37142857,34.95714286,338.0714286,86.28333333,973.7714286,4.428571429,4.7,4.985714286,5.228571429,5.614285714,6.171428571,0.642857143,2.628571429,0.534513485,0.534513485,0.029203373,9.62864762,0.904285455,0.881801555
17/02/2014,2014,2,55.3,33.6,71.3,-2.050423122,1,1.34,0.834571429,11.5,3.8,7.7,0,5.4,25.4,668.6,NA,992.4,6.4,6.4,5.5,5,4.7,5.4,0,4.8,0.962,0.962,0.962,11.81335083,0.694207865,0.872463266,7.171428571,1.8,4.5,9.685714286,12.72857143,39.92857143,352.9,85.225,982.4428571,3.242857143,3.442857143,3.628571429,3.914285714,4.528571429,5.714285714,0,2.157142857,0.550233667,0.550233667,0.137471675,17.27858573,1.341736959,1.631133616
24/02/2014,2014,2,60.3,48.3,86,-2.050423122,1,1.34,0.655571429,7,3,5,4.6,12,33.5,268.9,87.3,985,5.4,5.7,6.1,6.3,6.4,6.1,1.2,0.3,0.393,0.393,0,12.99051573,0.442933564,0.574382426,9.557142857,4.714285714,7.128571429,10.05714286,11.24285714,31.67142857,405.4714286,87.52,991.2,6.371428571,6.514285714,6.385714286,6.271428571,6.042857143,5.814285714,1.414285714,1.814285714,0.59714781,0.59714781,0.125747688,17.83753409,1.822372896,1.805856802
03/03/2014,2014,3,74,54,103,-1.759968909,1,0.8,0.781428571,10.1,1,5.5,5.9,13.1,46.6,865.5,81.4,984.1,5.1,5.3,5.4,5.5,5.9,6.2,0,5.2,1.162,1.162,0,8.092734688,0.442998705,0.5621949,9.4,3.128571429,6.257142857,4.942857143,11.68571429,34.05714286,649.6142857,82.5,990.1285714,5.685714286,5.885714286,5.885714286,5.942857143,6.1,6.2,0.6,3.642857143,0.916545035,0.916545035,0,11.35104003,0.954577415,1.095922196
10/03/2014,2014,3,41,56,98,-1.759968909,1,0.8,0.968142857,11.7,2.1,6.9,0,3.7,13.2,1130.9,83.8,1027.8,6.8,6.9,7,7,7,7.1,-2,6.2,1.475,1.475,1.475,4.645366042,0.298577218,0.431479951,10.57142857,4.642857143,7.614285714,2.242857143,8.742857143,26.97142857,570.0285714,84.1,1010.971429,7.214285714,6.028571429,5.957142857,6.928571429,6.671428571,5.742857143,2.8,2.2,0.808628127,0.808628127,0.434433379,6.564034792,0.642165505,0.701097758
17/03/2014,2014,3,90,67,142,-1.759968909,1,0.8,0.482571429,12.3,6.5,9.4,0,8.7,28.6,1035.8,NA,1016.4,9.3,9.1,8.9,8.5,8,7.5,4.9,4,1.296,1.296,7.709,1.958324063,0.14482551,0.269476582,11.82857143,5.414285714,8.614285714,0.128571429,7.014285714,19.78571429,714.3857143,89.04,1026.285714,8.014285714,7.928571429,7.771428571,7.6,7.3,7.242857143,3.457142857,2.8,1.019160749,1.019160749,5.247192943,2.540092024,0.141771353,0.30053912
24/03/2014,2014,3,62.5,54.6,116.3,-1.759968909,1,0.8,0.694142857,9.3,3.4,6.3,5.4,18.5,53.3,216.4,86.2,992.7,5.9,6,6.3,6.5,6.9,7.7,2.4,0.4,0.641,0.641,0,8.121033958,0.376763145,0.472845851,9.5,4.371428571,6.928571429,8.857142857,16.07142857,47.4,736.7714286,81.61666667,999.3285714,7.142857143,7.228571429,7.457142857,6.5,7.742857143,7.814285714,2.814285714,3.2,1.122945617,1.122945617,0.929136547,8.858715639,1.130221885,0.884865501
31/03/2014,2014,3,62,73,155,-1.759968909,1,0.8,0.029857143,13.8,7.6,10.7,2.4,9,23.7,870.1,82.3,1004.6,10.4,10.2,9.7,9.1,8.1,7.6,2.4,3.9,1.516,1.516,0,4.066906771,0.350395838,0.530371624,11.15714286,4.742857143,7.957142857,3.042857143,8.628571429,23.72857143,984.4428571,79.26666667,1010.671429,7.814285714,7.657142857,7.557142857,7.371428571,7.242857143,7.6,1.3,3.985714286,1.397865615,1.397865615,1.507571744,4.599251444,0.297380606,0.534977372
07/04/2014,2014,4,102,84.5,163,-2.213850979,1,0.31,-0.291285714,12,3.9,8,3.4,8.3,32.9,1209.3,82.9,1001,9.8,9.8,10.2,0,9.8,8.7,1.6,4.2,1.557,1.557,0,2.824709375,0.426346203,0.136787008,13.52857143,6.685714286,10.1,3.042857143,9.957142857,29.34285714,1006.285714,84.88571429,998.3142857,10.55714286,10.38571429,10.18571429,8.233333333,9.171428571,8.242857143,4.185714286,3.6,1.471654504,1.471654504,0.535490759,2.706875045,0.544725528,0.204882428
14/04/2014,2014,4,49,47,82.5,-2.213850979,1,0.31,0.843,15,6.8,10.9,0,5.6,21.9,1368.4,66.8,1024.7,10.4,10.3,10.1,9.8,9.5,9.1,0,5.1,1.975,1.975,3.44,0.979442604,0.122957986,0.077209174,11.57142857,7.085714286,9.328571429,1.257142857,9.742857143,26.72857143,1059.471429,76.48,1018.8,10.04285714,9.957142857,9.985714286,7.071428571,5.414285714,7.685714286,3.557142857,3.285714286,1.464588368,1.464588368,0.891994527,1.632081295,0.215936464,0.097362452
21/04/2014,2014,4,30,30,38,-2.213850979,1,0.31,0.808428571,17.8,8.4,13.1,0.7,13,31.7,1449.9,67.4,1004,12.3,12.5,12.2,11.6,10.9,9.6,0,7.7,2.819,2.819,15.13,0.553168333,0.089034885,0.059802103,15.57142857,7.085714286,11.31428571,0.457142857,8.557142857,23.57142857,1389.542857,75.24285714,1015.242857,9.828571429,11.58571429,11.27142857,9.114285714,10.15714286,9.314285714,0,5.414285714,2.127196231,2.127196231,9.171807989,0.70685814,0.106055607,0.0653642
28/04/2014,2014,4,78,63.6,83,-2.213850979,1,0.31,-0.939571429,20.4,5.3,12.9,0,5.3,12.7,1978.6,73,1009.7,0,14,13.4,0,11.8,10.4,0,6.3,2.551,2.551,12.373,0.729045729,0.107658942,0.067661185,15.68333333,6.95,11.33333333,2.316666667,8.566666667,23.76666667,1505.25,78.35,1004.583333,10.4,12.66666667,12.45,9.816666667,11.25,10.06666667,0,5.685714286,2.277566661,2.277566661,12.69120923,0.712135967,0.149674028,0.068540236
05/05/2014,2014,5,163,111,213,-1.746237228,1,-0.92,-0.532,12.9,9.8,11.3,4.3,13.9,32.8,613.2,89.4,996.9,11.9,12,12.4,12.5,12.4,11.3,8.3,0.4,1.076,1.076,0,1.793976563,0.575453783,0.136636506,15.37142857,9.728571429,12.54285714,3.271428571,8.185714286,20.35714286,989.9714286,88.42857143,1010,13.9,13.87142857,13.74285714,13.27142857,12.52857143,10.95714286,5.185714286,1.728571429,1.432659356,1.432659356,8.006470763,0.925152322,0.269604591,0.081416238
12/05/2014,2014,5,185,127,267,-1.746237228,1,-0.92,-0.974285714,13.6,6.6,10.1,4.2,8.1,20.8,1471.6,82.9,1007.9,12,11.9,11.9,11.7,11.5,11.2,0,3.6,1.867,1.867,0,6.089516042,0.419276515,0.287532923,13.42857143,7.971428571,10.7,7.685714286,12.11428571,32.65714286,1162.042857,87.47142857,999.5857143,11.81428571,11.72857143,11.84285714,11.74285714,11.61428571,11.22857143,4.8,1.871428571,1.445996294,1.445996294,0,4.799896563,0.909424927,0.355628015
19/05/2014,2014,5,156,138,258,-1.746237228,1,-0.92,-0.090142857,13.9,6.5,10.2,2.9,12.2,25,1222.5,88.8,1001,12.5,12.4,12.9,12.7,12.6,11.7,0,0.8,1.224,1.224,0,7.92324625,0.441538128,0.750770329,14.91428571,8.814285714,11.85714286,5.014285714,9.171428571,23.91428571,1540.042857,86.28571429,1018.128571,11.74285714,13.51428571,13.4,12.98571429,12.42857143,11.42857143,3.757142857,4.257142857,2.154705235,2.154705235,1.437571719,5.256591012,1.134684929,0.485600729
