Bedford,Date,Station,Latitude,Longitude,Depth,density (CTD S & Lab T),CTD_Temp1,CTD_Temp2,CTD_Salt1,CTD_Salt2,TOxN to submit umol/l,TOxN to submit umol/kg,TOxN_Flag,Si_to submit umol/l,Si_to submit umol/kg,Silicate_Flag,Nitrite umol/l,Nitrite umol/kg,Nitrite_Flag,Phosphate_MI umol/l,Phosphate umol/kg,Phosphate_Flag,Nitrate umol/l,Nitrate umol/kg,Nitrate_Flag,,,,,
100100,30/04/2017,7,43.05031333,-48.62693333,2400.64,1024.701608,2.9808,2.9816,34.9195,34.9202,17.94,17.51,2,13.98,13.64,2,<0.04,<0.04,2,1.13,1.10,2,17.90,17.47,2,,,,,
100101,30/04/2017,7,43.05031333,-48.62693333,2301.354,1024.702066,3.0477,3.0491,34.9201,34.9207,17.09,16.68,2,13.59,13.26,2,0.05,0.05,2,1.13,1.10,2,17.04,16.63,2,,,,,
100102,30/04/2017,7,43.05031333,-48.62693333,2100.31,1024.703286,3.1822,3.1828,34.9217,34.9226,17.12,16.70,2,13.12,12.81,2,<0.01,<0.01,2,1.13,1.11,2,17.11,16.70,2,,,,,
100103,30/04/2017,7,43.05031333,-48.62693333,1898.71,1024.705041,3.3391,3.3418,34.924,34.9248,16.65,16.24,2,12.44,12.14,2,<0.04,<0.04,2,1.14,1.11,2,16.61,16.20,2,,,,,
100104,30/04/2017,7,43.05031333,-48.62693333,1702.079,1024.7071,3.4698,3.4703,34.9267,34.9279,16.85,16.45,2,12.10,11.80,2,<0.01,<0.01,2,1.15,1.12,2,16.84,16.44,2,,,,,
100105,30/04/2017,7,43.05031333,-48.62693333,1500.589,1024.703515,3.5764,3.5771,34.922,34.9233,16.97,16.56,2,11.29,11.02,2,<0.04,<0.04,2,1.14,1.11,2,16.93,16.52,2,,,,,
100106,30/04/2017,7,43.05031333,-48.62693333,1299.57,1024.68559,3.5625,3.5636,34.8985,34.9,16.79,16.39,2,10.35,10.10,2,<0.04,<0.04,2,1.14,1.11,2,16.75,16.35,2,,,,,
100107,30/04/2017,7,43.05031333,-48.62693333,1098.73,1024.68681,3.6842,3.6854,34.9001,34.9017,17.10,16.68,2,10.03,9.79,2,<0.04,<0.04,2,1.15,1.12,2,17.06,16.64,2,,,,,
100108,30/04/2017,7,43.05031333,-48.62693333,999.763,1024.694133,3.7962,3.7971,34.9097,34.9114,16.44,16.04,2,10.22,9.97,2,<0.01,<0.01,2,1.12,1.09,2,16.43,16.03,2,,,,,
100109,30/04/2017,7,43.05031333,-48.62693333,900.276,1024.716712,4.0597,4.0613,34.9393,34.9409,17.53,17.11,2,10.58,10.32,2,0.05,0.05,2,1.15,1.12,2,17.48,17.06,2,,,,,
100110,30/04/2017,7,43.05031333,-48.62693333,799.585,1024.72968,4.2409,4.2402,34.9563,34.9579,17.41,16.99,2,10.79,10.53,2,<0.01,<0.01,2,1.15,1.12,2,17.40,16.98,2,,,,,
100111,30/04/2017,7,43.05031333,-48.62693333,699.684,1024.751649,4.5117,4.5112,34.9851,34.9866,17.86,17.43,2,11.06,10.80,2,<0.01,<0.01,2,1.19,1.16,2,17.85,17.42,2,,,,,
100112,30/04/2017,7,43.05031333,-48.62693333,601.365,1024.746462,4.6042,4.6043,34.9783,34.9802,17.93,17.50,2,10.68,10.42,2,<0.04,<0.04,2,1.38,1.34,2,17.89,17.46,2,,,,,
100113,30/04/2017,7,43.05031333,-48.62693333,499.268,1024.728154,4.6682,4.6707,34.9543,34.9562,18.00,17.57,2,10.71,10.45,2,<0.01,<0.01,2,1.19,1.16,2,17.99,17.56,2,,,,,
100114,30/04/2017,7,43.05031333,-48.62693333,400.508,1024.728535,5.0343,5.0307,34.9548,34.9569,18.54,18.09,2,11.53,11.25,2,<0.04,<0.04,2,1.23,1.20,2,18.50,18.05,2,,,,,
100115,30/04/2017,7,43.05031333,-48.62693333,299.847,1024.67636,5.2315,5.2275,34.8864,34.8865,18.92,18.46,2,12.15,11.86,2,0.05,0.04,2,1.27,1.24,2,18.87,18.41,2,,,,,
100116,30/04/2017,7,43.05031333,-48.62693333,200.169,1024.239657,2.9052,2.9061,34.3138,34.3171,14.80,14.45,2,9.54,9.31,2,<0.04,<0.04,2,1.03,1.01,2,14.76,14.41,2,,,,,
100117,30/04/2017,7,43.05031333,-48.62693333,150.124,1024.393243,5.3822,5.3818,34.5152,34.5173,15.83,15.46,2,9.60,9.37,2,0.06,0.06,2,1.10,1.07,2,15.77,15.40,2,,,,,
100118,30/04/2017,7,43.05031333,-48.62693333,99.374,1024.140148,4.273,4.2677,34.1833,34.1844,10.82,10.57,2,6.63,6.47,2,0.20,0.19,2,0.80,0.78,2,10.63,10.38,2,,,,,
100119,30/04/2017,7,43.05031333,-48.62693333,70.022,1024.027303,3.7351,3.742,34.0353,34.0497,9.40,9.18,2,5.94,5.80,2,0.25,0.24,2,0.76,0.74,2,9.15,8.93,2,,,,,
100120,30/04/2017,7,43.05031333,-48.62693333,49.65,1024.018231,4.8992,4.8934,34.0234,34.0004,6.52,6.37,2,3.49,3.41,2,0.23,0.23,2,0.62,0.61,2,6.29,6.14,2,,,,,
100121,30/04/2017,7,43.05031333,-48.62693333,10.103,1023.729756,5.0124,5.0141,33.645,33.6489,3.58,3.49,2,1.72,1.68,2,<0.04,<0.04,2,0.42,0.41,2,3.54,3.46,2,,,,,
